term,corr,state,freq
mentalizing,-0.074,1,alpha
sentences,-0.075,1,alpha
music,-0.075,1,alpha
angular,-0.077,1,alpha
psts,-0.078,1,alpha
temporale,-0.078,1,alpha
mind,-0.078,1,alpha
planum temporale,-0.078,1,alpha
parieto,-0.079,1,alpha
lateral occipital,-0.081,1,alpha
precuneus posterior,-0.082,1,alpha
angular gyrus,-0.083,1,alpha
voice,-0.083,1,alpha
spatial,-0.083,1,alpha
videos,-0.084,1,alpha
spoken,-0.084,1,alpha
location,-0.084,1,alpha
speech perception,-0.084,1,alpha
objects,-0.085,1,alpha
middle temporal,-0.085,1,alpha
visual stream,-0.086,1,alpha
theory mind,-0.087,1,alpha
default,-0.087,1,alpha
default mode,-0.087,1,alpha
occipital gyrus,-0.088,1,alpha
comprehension,-0.088,1,alpha
acoustic,-0.09,1,alpha
posterior cingulate,-0.09,1,alpha
listened,-0.09,1,alpha
extrastriate,-0.092,1,alpha
mt,-0.092,1,alpha
posterior superior,-0.092,1,alpha
sounds,-0.094,1,alpha
audiovisual,-0.096,1,alpha
auditory,-0.097,1,alpha
speech,-0.098,1,alpha
speaker,-0.099,1,alpha
object,-0.1,1,alpha
perception,-0.1,1,alpha
early visual,-0.106,1,alpha
listening,-0.109,1,alpha
v1,-0.109,1,alpha
vision,-0.112,1,alpha
temporal gyrus,-0.113,1,alpha
posterior,-0.114,1,alpha
sighted,-0.115,1,alpha
occipital cortex,-0.118,1,alpha
sulcus sts,-0.121,1,alpha
motion,-0.123,1,alpha
superior,-0.123,1,alpha
sulcus,-0.128,1,alpha
sts,-0.129,1,alpha
temporal,-0.129,1,alpha
cuneus,-0.13,1,alpha
superior temporal,-0.13,1,alpha
temporal sulcus,-0.135,1,alpha
precuneus,-0.137,1,alpha
occipital,-0.17,1,alpha
visual,-0.177,1,alpha
temporal,0.197,1,beta
superior temporal,0.193,1,beta
occipital,0.178,1,beta
temporal sulcus,0.178,1,beta
temporal gyrus,0.175,1,beta
sts,0.174,1,beta
visual,0.174,1,beta
superior,0.17,1,beta
listening,0.168,1,beta
auditory,0.159,1,beta
sulcus sts,0.156,1,beta
sounds,0.152,1,beta
speaker,0.148,1,beta
acoustic,0.148,1,beta
speech,0.146,1,beta
audiovisual,0.143,1,beta
listened,0.143,1,beta
cuneus,0.135,1,beta
spoken,0.133,1,beta
comprehension,0.133,1,beta
speech perception,0.131,1,beta
temporale,0.13,1,beta
planum temporale,0.13,1,beta
voice,0.128,1,beta
perception,0.127,1,beta
planum,0.126,1,beta
middle temporal,0.124,1,beta
music,0.124,1,beta
occipital cortex,0.123,1,beta
auditory cortex,0.123,1,beta
posterior superior,0.122,1,beta
sighted,0.121,1,beta
motion,0.121,1,beta
gyrus stg,0.12,1,beta
sentences,0.12,1,beta
sound,0.118,1,beta
v1,0.117,1,beta
linguistic,0.115,1,beta
early visual,0.114,1,beta
sulcus,0.114,1,beta
posterior,0.112,1,beta
musical,0.111,1,beta
vision,0.111,1,beta
precuneus,0.111,1,beta
auditory stimuli,0.109,1,beta
language,0.108,1,beta
auditory visual,0.108,1,beta
heard,0.105,1,beta
modality,0.103,1,beta
primary auditory,0.099,1,beta
extrastriate,0.099,1,beta
heschl,0.099,1,beta
temporal gyri,0.099,1,beta
heschl gyrus,0.099,1,beta
theory mind,0.097,1,beta
anterior superior,0.097,1,beta
occipital gyrus,0.096,1,beta
sentence,0.096,1,beta
anterior temporal,0.096,1,beta
integration,0.095,1,beta
psts,0.094,1,beta
hearing,0.093,1,beta
visual auditory,0.092,1,beta
object,0.092,1,beta
visual stream,0.092,1,beta
temporal cortex,0.09,1,beta
mt,0.09,1,beta
language comprehension,0.089,1,beta
objects,0.087,1,beta
lateral occipital,0.086,1,beta
mind,0.086,1,beta
pitch,0.086,1,beta
gyrus,0.085,1,beta
noise,0.084,1,beta
semantic,0.084,1,beta
posterior temporal,0.084,1,beta
inferior occipital,0.083,1,beta
videos,0.082,1,beta
visual cortex,0.081,1,beta
posterior middle,0.08,1,beta
temporal frontal,0.08,1,beta
vocal,0.079,1,beta
mentalizing,0.079,1,beta
multisensory,0.079,1,beta
syntactic,0.078,1,beta
pole,0.077,1,beta
ventral visual,0.076,1,beta
default,0.076,1,beta
default mode,0.076,1,beta
person,0.075,1,beta
reading,0.074,1,beta
middle occipital,0.074,1,beta
occipito,0.073,1,beta
posterior cingulate,0.073,1,beta
primary visual,0.073,1,beta
temporal pole,0.072,1,beta
precuneus posterior,0.071,1,beta
fronto temporal,0.071,1,beta
social,0.07,1,beta
words,0.069,1,beta
modalities,0.068,1,beta
v5,0.068,1,beta
angular gyrus,0.067,1,beta
mental states,0.067,1,beta
tone,0.066,1,beta
mtg,0.065,1,beta
theory,0.065,1,beta
streams,0.063,1,beta
memory retrieval,0.063,1,beta
angular,0.063,1,beta
mind tom,0.062,1,beta
autobiographical,0.062,1,beta
temporoparietal,0.061,1,beta
retrieval,0.06,1,beta
beliefs,0.06,1,beta
lateral temporal,0.059,1,beta
dmn,0.059,1,beta
stream,0.059,1,beta
tom,0.058,1,beta
visual motion,0.058,1,beta
language network,0.057,1,beta
face,0.057,1,beta
selective,0.056,1,beta
phonological,0.056,1,beta
hemisphere,0.056,1,beta
fusiform,0.055,1,beta
occipito temporal,0.055,1,beta
superior middle,0.055,1,beta
parieto,0.055,1,beta
intentional,0.055,1,beta
temporo parietal,0.054,1,beta
visual perception,0.054,1,beta
location,0.053,1,beta
parieto occipital,0.053,1,beta
word,0.053,1,beta
junction,0.051,1,beta
temporo,0.05,1,beta
body,0.05,1,beta
occipitotemporal,0.05,1,beta
lateralized,0.05,1,beta
perceptual,0.05,1,beta
network dmn,0.05,1,beta
temporoparietal junction,0.05,1,beta
lexical,0.049,1,beta
sensory,0.048,1,beta
memories,0.048,1,beta
temporal lobes,0.047,1,beta
pcc,0.046,1,beta
video,0.046,1,beta
visual cortices,0.046,1,beta
read,0.046,1,beta
default network,0.045,1,beta
episodic,0.044,1,beta
occipitotemporal cortex,0.044,1,beta
facial expression,0.043,1,beta
posterior anterior,0.043,1,beta
visual word,0.043,1,beta
decoding,0.043,1,beta
autobiographical memory,0.043,1,beta
unimodal,0.042,1,beta
speaking,0.042,1,beta
spatial,0.041,1,beta
self referential,0.041,1,beta
cortex precuneus,0.041,1,beta
social cognitive,0.04,1,beta
agent,0.04,1,beta
action observation,0.04,1,beta
naturalistic,0.039,1,beta
connectivity,0.039,1,beta
natural,0.039,1,beta
parietal junction,0.038,1,beta
sentence comprehension,0.038,1,beta
cortex pcc,0.038,1,beta
written,0.038,1,beta
spatial attention,0.038,1,beta
human,0.037,1,beta
musicians,0.036,1,beta
fusiform face,0.036,1,beta
viewing,0.036,1,beta
referential,0.036,1,beta
tpj,0.035,1,beta
retrieved,0.035,1,beta
communication,0.035,1,beta
cross modal,0.035,1,beta
verbs,0.035,1,beta
fusiform gyrus,0.035,1,beta
faces,0.035,1,beta
visual field,0.035,1,beta
concrete,0.034,1,beta
selective attention,0.033,1,beta
temporal inferior,0.033,1,beta
lateralization,0.032,1,beta
repetition,0.032,1,beta
video clips,0.032,1,beta
medial prefrontal,0.032,1,beta
visuospatial,0.032,1,beta
ffa,0.032,1,beta
watching,0.032,1,beta
word form,0.032,1,beta
gyrus superior,0.032,1,beta
gestures,0.032,1,beta
letter,0.032,1,beta
dimensional,0.031,1,beta
lateral,0.031,1,beta
visual stimuli,0.03,1,beta
object recognition,0.03,1,beta
face ffa,0.03,1,beta
construction,0.03,1,beta
english,0.029,1,beta
functional connectivity,0.029,1,beta
information,0.028,1,beta
social cognition,0.028,1,beta
silent,0.028,1,beta
episodic memory,0.028,1,beta
attention,0.028,1,beta
rest,0.028,1,beta
production,0.028,1,beta
orienting,0.028,1,beta
eye movements,0.027,1,beta
retrosplenial,0.027,1,beta
locations,0.027,1,beta
recollection,0.026,1,beta
switching,0.026,1,beta
passively,0.025,1,beta
lingual gyrus,0.025,1,beta
posterior parietal,0.025,1,beta
attentional,0.024,1,beta
facial,0.024,1,beta
core,0.024,1,beta
tools,0.024,1,beta
orthographic,0.024,1,beta
characters,0.024,1,beta
predictions,0.024,1,beta
parietal frontal,0.023,1,beta
visually presented,0.023,1,beta
inferior frontal,0.023,1,beta
matching,0.023,1,beta
visuo,0.023,1,beta
intraparietal,0.022,1,beta
gaze,0.022,1,beta
midline,0.022,1,beta
bilinguals,0.022,1,beta
experiences,0.022,1,beta
speakers,0.022,1,beta
speech production,0.022,1,beta
item,0.021,1,beta
junction tpj,0.021,1,beta
pseudowords,0.021,1,beta
visual attention,0.021,1,beta
sequences,0.021,1,beta
mental state,0.021,1,beta
cognition,0.02,1,beta
passive,0.02,1,beta
occipital temporal,0.02,1,beta
task positive,0.02,1,beta
lateral parietal,0.02,1,beta
actions,0.019,1,beta
rotation,0.019,1,beta
autism,0.019,1,beta
dorsal attention,0.019,1,beta
abstract,0.019,1,beta
medial,0.019,1,beta
amnestic,0.019,1,beta
social interaction,0.019,1,beta
lingual,0.018,1,beta
knowledge,0.018,1,beta
color,0.018,1,beta
expressions,0.018,1,beta
discriminative,0.018,1,beta
shapes,0.018,1,beta
items,0.018,1,beta
lobes,0.018,1,beta
congruent incongruent,0.017,1,beta
reaching,0.017,1,beta
belief,0.017,1,beta
category,0.017,1,beta
dyslexia,0.017,1,beta
perceiving,0.017,1,beta
cortex posterior,0.017,1,beta
supramarginal gyrus,0.017,1,beta
face recognition,0.017,1,beta
recognition,0.017,1,beta
visually,0.017,1,beta
verb,0.016,1,beta
fixation,0.016,1,beta
goals,0.016,1,beta
frontal temporal,0.016,1,beta
cortex suggest,0.016,1,beta
temporal parietal,0.015,1,beta
chinese,0.015,1,beta
facial expressions,0.015,1,beta
languages,0.015,1,beta
broca,0.015,1,beta
fusiform gyri,0.015,1,beta
contextual,0.015,1,beta
navigation,0.015,1,beta
supramarginal,0.014,1,beta
categories,0.014,1,beta
familiarity,0.014,1,beta
ips,0.014,1,beta
empathic,0.014,1,beta
articulatory,0.014,1,beta
hub,0.014,1,beta
ppc,0.014,1,beta
sulcus ips,0.014,1,beta
empathy,0.013,1,beta
intraparietal sulcus,0.013,1,beta
readers,0.013,1,beta
calculation,0.013,1,beta
erp,0.013,1,beta
illusion,0.013,1,beta
memory performance,0.013,1,beta
concepts,0.013,1,beta
inferior,0.012,1,beta
frontoparietal network,0.012,1,beta
social interactions,0.012,1,beta
task relevant,0.012,1,beta
attending,0.012,1,beta
relational,0.012,1,beta
gyrus precuneus,0.012,1,beta
spontaneous,0.012,1,beta
sensory information,0.012,1,beta
mci,0.012,1,beta
middle superior,0.012,1,beta
expression,0.011,1,beta
virtual,0.011,1,beta
familiar,0.011,1,beta
percept,0.011,1,beta
interpersonal,0.011,1,beta
cortex ppc,0.011,1,beta
parietal cortex,0.011,1,beta
parietal,0.011,1,beta
cortices,0.01,1,beta
retrosplenial cortex,0.01,1,beta
frontal gyrus,0.01,1,beta
spectrum disorders,0.01,1,beta
semantic memory,0.01,1,beta
frontotemporal,0.01,1,beta
sn,0.01,1,beta
spatial information,0.01,1,beta
temporal lobe,0.01,1,beta
shifts,0.009,1,beta
targets,0.009,1,beta
inference,0.009,1,beta
occipital lobe,0.009,1,beta
salient,0.009,1,beta
frontoparietal,0.009,1,beta
attention network,0.009,1,beta
vlpfc,0.009,1,beta
gyrus mfg,0.009,1,beta
parietal occipital,0.009,1,beta
deprivation,0.009,1,beta
recognition memory,0.009,1,beta
integrated,0.008,1,beta
conceptual,0.008,1,beta
lateral medial,0.008,1,beta
congruency,0.008,1,beta
temporal occipital,0.008,1,beta
detecting,0.008,1,beta
intentions,0.008,1,beta
aphasia,0.008,1,beta
remembering,0.008,1,beta
cortex middle,0.008,1,beta
images,0.007,1,beta
violations,0.007,1,beta
attentional control,0.007,1,beta
flexibility,0.007,1,beta
memory test,0.007,1,beta
complex,0.007,1,beta
superior parietal,0.007,1,beta
schizophrenic,0.007,1,beta
recognize,0.007,1,beta
people,0.007,1,beta
low level,0.007,1,beta
semantics,0.007,1,beta
cortex vmpfc,0.006,1,beta
space,0.006,1,beta
lateral orbitofrontal,0.006,1,beta
action,0.006,1,beta
imitation,0.006,1,beta
intense,0.006,1,beta
integrating,0.006,1,beta
moral,0.006,1,beta
autism spectrum,0.006,1,beta
word recognition,0.006,1,beta
judgment task,0.006,1,beta
intervals,0.006,1,beta
forms,0.006,1,beta
spatiotemporal,0.005,1,beta
asd,0.005,1,beta
memory encoding,0.005,1,beta
attended,0.005,1,beta
eye,0.005,1,beta
salience network,0.005,1,beta
rule,0.005,1,beta
conjunction,0.005,1,beta
sources,0.005,1,beta
thinking,0.004,1,beta
emotions,0.004,1,beta
asymmetry,0.004,1,beta
subtraction,0.004,1,beta
negative neutral,0.004,1,beta
parietal lobule,0.004,1,beta
remember,0.004,1,beta
monitoring,0.004,1,beta
lobule ipl,0.004,1,beta
letters,0.004,1,beta
temporal cortices,0.004,1,beta
form,0.004,1,beta
remembered,0.004,1,beta
grasping,0.004,1,beta
rules,0.004,1,beta
eye movement,0.004,1,beta
disorder ocd,0.003,1,beta
ventral medial,0.003,1,beta
demand,0.003,1,beta
conflicting,0.003,1,beta
events,0.003,1,beta
matching task,0.003,1,beta
visuo spatial,0.003,1,beta
congruent,0.003,1,beta
gyrus posterior,0.003,1,beta
button,0.003,1,beta
depth,0.003,1,beta
goal,0.003,1,beta
vmpfc,0.003,1,beta
real world,0.003,1,beta
target,0.003,1,beta
angry,0.003,1,beta
adaptation,0.003,1,beta
pictures,0.003,1,beta
gyrus middle,0.002,1,beta
correctly,0.002,1,beta
priming,0.002,1,beta
oddball,0.002,1,beta
consistency,0.002,1,beta
demanding,0.002,1,beta
unfamiliar,0.002,1,beta
arithmetic,0.002,1,beta
visual stimulus,0.002,1,beta
symbolic,0.002,1,beta
touch,0.002,1,beta
naming,0.002,1,beta
cortex lateral,0.002,1,beta
pairs,0.001,1,beta
spectrum,0.001,1,beta
ocd,0.001,1,beta
mental imagery,0.001,1,beta
cognitive function,0.001,1,beta
cues,0.001,1,beta
magnetoencephalography,0.001,1,beta
pleasant,0.001,1,beta
medial lateral,0.001,1,beta
inhibitory control,0.001,1,beta
spectrum disorder,0.001,1,beta
reappraisal,0.001,1,beta
discriminated,0.001,1,beta
addition,0.001,1,beta
shifting,0.001,1,beta
implicit,0.001,1,beta
personal,0.001,1,beta
dementia,0.0,1,beta
spl,0.0,1,beta
judgment,0.0,1,beta
operculum,0.0,1,beta
cortex hippocampus,0.0,1,beta
emotional faces,0.0,1,beta
cortex dacc,0.0,1,beta
cortex inferior,0.0,1,beta
retention,0.0,1,beta
expressed,0.0,1,beta
gyrus insula,0.0,1,beta
confidence,0.0,1,beta
saccades,0.0,1,beta
anterior medial,0.0,1,beta
selection,0.0,1,beta
rating,0.0,1,beta
encode,0.0,1,beta
stimulation,0.0,1,beta
ventromedial prefrontal,0.0,1,beta
lateral prefrontal,0.0,1,beta
dacc,0.0,1,beta
disease,0.0,1,beta
judgments,0.0,1,beta
occipital parietal,0.0,1,beta
pars,0.0,1,beta
response time,0.0,1,beta
covert,0.0,1,beta
cognitive impairment,0.0,1,beta
health,0.0,1,beta
place,0.0,1,beta
instructions,0.0,1,beta
recognized,-0.001,1,beta
life,-0.001,1,beta
nogo,-0.001,1,beta
dimension,-0.001,1,beta
controlled,-0.001,1,beta
relevance,-0.001,1,beta
detection task,-0.001,1,beta
children,-0.001,1,beta
domain general,-0.001,1,beta
fronto,-0.001,1,beta
parietal lobe,-0.001,1,beta
adolescent,-0.001,1,beta
reversal,-0.001,1,beta
cognitive processes,-0.001,1,beta
character,-0.001,1,beta
ability,-0.001,1,beta
switch,-0.001,1,beta
inhibition,-0.001,1,beta
childhood,-0.001,1,beta
everyday life,-0.001,1,beta
identification,-0.001,1,beta
organization,-0.001,1,beta
emotional responses,-0.001,1,beta
high risk,-0.001,1,beta
consolidation,-0.001,1,beta
substance,-0.001,1,beta
complexity,-0.001,1,beta
anterior posterior,-0.001,1,beta
paralimbic,-0.001,1,beta
preference,-0.001,1,beta
diagnosis,-0.001,1,beta
cued,-0.001,1,beta
accurate,-0.001,1,beta
concept,-0.001,1,beta
risky,-0.001,1,beta
rt,-0.001,1,beta
hoc,-0.001,1,beta
adults,-0.001,1,beta
frequency,-0.001,1,beta
salience,-0.001,1,beta
inhibit,-0.001,1,beta
mapping,-0.001,1,beta
interactions,-0.001,1,beta
size,-0.002,1,beta
uncertain,-0.002,1,beta
associations,-0.002,1,beta
act,-0.002,1,beta
bilaterally,-0.002,1,beta
behavioral measures,-0.002,1,beta
engagement,-0.002,1,beta
compulsive disorder,-0.002,1,beta
inferior temporal,-0.002,1,beta
adolescence,-0.002,1,beta
magnitude,-0.002,1,beta
compensatory,-0.002,1,beta
regulate,-0.002,1,beta
concurrent,-0.002,1,beta
parietal temporal,-0.002,1,beta
ipl,-0.002,1,beta
craving,-0.002,1,beta
alpha,-0.002,1,beta
cue,-0.002,1,beta
encoded,-0.002,1,beta
dimensions,-0.002,1,beta
bodily,-0.002,1,beta
dorsal ventral,-0.002,1,beta
focus,-0.002,1,beta
probability,-0.002,1,beta
mild cognitive,-0.002,1,beta
cerebral,-0.002,1,beta
vulnerability,-0.002,1,beta
individual variability,-0.002,1,beta
referred,-0.002,1,beta
behavioral performance,-0.002,1,beta
age,-0.002,1,beta
depression,-0.002,1,beta
depressed,-0.003,1,beta
expertise,-0.003,1,beta
gyrus anterior,-0.003,1,beta
discriminate,-0.003,1,beta
spatially,-0.003,1,beta
mnemonic,-0.003,1,beta
posterior insula,-0.003,1,beta
avoid,-0.003,1,beta
confounding,-0.003,1,beta
capacity,-0.003,1,beta
humans,-0.003,1,beta
elderly,-0.003,1,beta
performance task,-0.003,1,beta
add,-0.003,1,beta
intelligence,-0.003,1,beta
sulci,-0.003,1,beta
maps,-0.003,1,beta
feelings,-0.003,1,beta
awareness,-0.003,1,beta
adolescents,-0.003,1,beta
inconsistent,-0.003,1,beta
experiencing,-0.003,1,beta
exploratory,-0.003,1,beta
lexical decision,-0.003,1,beta
cognitive task,-0.003,1,beta
persons,-0.003,1,beta
smoking,-0.003,1,beta
economic,-0.003,1,beta
recognition task,-0.003,1,beta
mdd,-0.003,1,beta
error,-0.003,1,beta
anger,-0.003,1,beta
behavioral,-0.003,1,beta
psychotic,-0.003,1,beta
hubs,-0.003,1,beta
short term,-0.003,1,beta
nouns,-0.003,1,beta
manipulation,-0.003,1,beta
genes,-0.003,1,beta
major depressive,-0.003,1,beta
prime,-0.003,1,beta
neutral stimuli,-0.003,1,beta
efficiency,-0.003,1,beta
poor,-0.003,1,beta
orientation,-0.003,1,beta
thoughts,-0.003,1,beta
deficits,-0.003,1,beta
opercular,-0.003,1,beta
hc,-0.003,1,beta
developmental,-0.003,1,beta
values,-0.003,1,beta
cortex bilaterally,-0.003,1,beta
expectation,-0.003,1,beta
sex,-0.003,1,beta
family,-0.003,1,beta
ventral dorsal,-0.003,1,beta
chronic,-0.004,1,beta
picture,-0.004,1,beta
depressive disorder,-0.004,1,beta
threatening,-0.004,1,beta
cingulate gyrus,-0.004,1,beta
discrimination,-0.004,1,beta
similarity,-0.004,1,beta
negativity,-0.004,1,beta
cognitive emotional,-0.004,1,beta
consumption,-0.004,1,beta
integrate,-0.004,1,beta
deficient,-0.004,1,beta
signaling,-0.004,1,beta
damage,-0.004,1,beta
posttraumatic,-0.004,1,beta
medial pfc,-0.004,1,beta
adhd,-0.004,1,beta
hemispheric,-0.004,1,beta
tactile,-0.004,1,beta
illness,-0.004,1,beta
brains,-0.004,1,beta
dominance,-0.004,1,beta
long term,-0.004,1,beta
episode,-0.004,1,beta
memory,-0.004,1,beta
constraints,-0.004,1,beta
simulation,-0.004,1,beta
strategies,-0.004,1,beta
cortex anterior,-0.004,1,beta
epilepsy,-0.004,1,beta
head,-0.004,1,beta
frontopolar,-0.004,1,beta
novelty,-0.004,1,beta
sizes,-0.004,1,beta
cognitively,-0.004,1,beta
lesions,-0.004,1,beta
pair,-0.004,1,beta
disorders,-0.004,1,beta
explicit,-0.004,1,beta
visual information,-0.004,1,beta
suppression,-0.004,1,beta
inferior parietal,-0.004,1,beta
source,-0.004,1,beta
ventromedial,-0.004,1,beta
incongruent,-0.004,1,beta
accurately,-0.004,1,beta
binding,-0.004,1,beta
female,-0.004,1,beta
stress disorder,-0.004,1,beta
electrical,-0.004,1,beta
experience,-0.004,1,beta
effort,-0.004,1,beta
categorization,-0.004,1,beta
appraisal,-0.004,1,beta
cerebral cortex,-0.004,1,beta
paired,-0.004,1,beta
goal directed,-0.004,1,beta
oriented,-0.004,1,beta
symptom,-0.004,1,beta
ventrolateral,-0.004,1,beta
deficit,-0.004,1,beta
word pairs,-0.004,1,beta
reference,-0.004,1,beta
sii,-0.004,1,beta
stress,-0.004,1,beta
positive negative,-0.004,1,beta
risk,-0.004,1,beta
cortex ventral,-0.004,1,beta
education,-0.004,1,beta
prospective,-0.004,1,beta
tracking,-0.004,1,beta
metabolic,-0.005,1,beta
disease ad,-0.005,1,beta
drug,-0.005,1,beta
rostral anterior,-0.005,1,beta
memory tasks,-0.005,1,beta
serotonin,-0.005,1,beta
ventrolateral prefrontal,-0.005,1,beta
contexts,-0.005,1,beta
placebo,-0.005,1,beta
hyperactivity,-0.005,1,beta
image,-0.005,1,beta
cortex medial,-0.005,1,beta
concentration,-0.005,1,beta
deficit hyperactivity,-0.005,1,beta
socially,-0.005,1,beta
lesion,-0.005,1,beta
subsequent,-0.005,1,beta
encoding,-0.005,1,beta
solving,-0.005,1,beta
memory processes,-0.005,1,beta
difficult,-0.005,1,beta
cognitive performance,-0.005,1,beta
parietal cortices,-0.005,1,beta
disorder ptsd,-0.005,1,beta
cortex mpfc,-0.005,1,beta
capture,-0.005,1,beta
symptom severity,-0.005,1,beta
middle inferior,-0.005,1,beta
conscious,-0.005,1,beta
smokers,-0.005,1,beta
response times,-0.005,1,beta
intention,-0.005,1,beta
strategic,-0.005,1,beta
questionnaire,-0.005,1,beta
bipolar disorder,-0.005,1,beta
drugs,-0.005,1,beta
personality,-0.005,1,beta
al,-0.005,1,beta
evaluations,-0.005,1,beta
mesial,-0.005,1,beta
met,-0.005,1,beta
bipolar,-0.005,1,beta
evaluation,-0.005,1,beta
interactive,-0.005,1,beta
suppressed,-0.005,1,beta
episodes,-0.005,1,beta
rs,-0.005,1,beta
hyperactivity disorder,-0.005,1,beta
sclerosis,-0.005,1,beta
gyri,-0.005,1,beta
brodmann,-0.005,1,beta
pointing,-0.005,1,beta
disorder adhd,-0.005,1,beta
reasoning,-0.005,1,beta
happy faces,-0.005,1,beta
insular cortex,-0.005,1,beta
success,-0.006,1,beta
parietal lobules,-0.006,1,beta
cortex dorsolateral,-0.006,1,beta
gamma,-0.006,1,beta
ambiguous,-0.006,1,beta
cortex dorsal,-0.006,1,beta
cortex superior,-0.006,1,beta
cortex vlpfc,-0.006,1,beta
thought,-0.006,1,beta
expectations,-0.006,1,beta
separation,-0.006,1,beta
everyday,-0.006,1,beta
cortex pfc,-0.006,1,beta
posterior inferior,-0.006,1,beta
computation,-0.006,1,beta
uncertainty,-0.006,1,beta
imagine,-0.006,1,beta
disorder mdd,-0.006,1,beta
correction,-0.006,1,beta
rsfc,-0.006,1,beta
sensitivity,-0.006,1,beta
executive function,-0.006,1,beta
manipulations,-0.006,1,beta
reaction time,-0.006,1,beta
ventral anterior,-0.006,1,beta
distraction,-0.006,1,beta
distractor,-0.006,1,beta
competition,-0.006,1,beta
attention deficit,-0.006,1,beta
names,-0.006,1,beta
detected,-0.006,1,beta
abilities,-0.006,1,beta
interval,-0.006,1,beta
placebo controlled,-0.006,1,beta
categorical,-0.006,1,beta
hyperactivation,-0.006,1,beta
feeling,-0.006,1,beta
exploration,-0.006,1,beta
spatial temporal,-0.006,1,beta
ad,-0.006,1,beta
stop signal,-0.006,1,beta
decisions,-0.006,1,beta
metabolism,-0.006,1,beta
oscillations,-0.006,1,beta
negative emotional,-0.006,1,beta
sham,-0.006,1,beta
plasticity,-0.006,1,beta
match,-0.006,1,beta
trait,-0.006,1,beta
cortex frontal,-0.006,1,beta
reaction,-0.006,1,beta
digit,-0.006,1,beta
frontal operculum,-0.006,1,beta
sustained attention,-0.007,1,beta
alcohol,-0.007,1,beta
biomarker,-0.007,1,beta
cognitive tasks,-0.007,1,beta
inferior prefrontal,-0.007,1,beta
attenuation,-0.007,1,beta
predictive,-0.007,1,beta
externally,-0.007,1,beta
hypoactivation,-0.007,1,beta
inferences,-0.007,1,beta
alzheimer disease,-0.007,1,beta
errors,-0.007,1,beta
inhibitory,-0.007,1,beta
balance,-0.007,1,beta
consecutive,-0.007,1,beta
light,-0.007,1,beta
attend,-0.007,1,beta
biomarkers,-0.007,1,beta
motor response,-0.007,1,beta
obsessive,-0.007,1,beta
subjective,-0.007,1,beta
animals,-0.007,1,beta
encoding retrieval,-0.007,1,beta
gyrus ba,-0.007,1,beta
morphology,-0.007,1,beta
incorrect,-0.007,1,beta
suffering,-0.007,1,beta
preferences,-0.007,1,beta
mfg,-0.007,1,beta
stroop,-0.007,1,beta
beta,-0.007,1,beta
disorder,-0.007,1,beta
interoceptive,-0.007,1,beta
likelihood,-0.007,1,beta
alzheimer,-0.007,1,beta
sustained,-0.007,1,beta
iq,-0.007,1,beta
obsessive compulsive,-0.007,1,beta
mpfc,-0.007,1,beta
probabilistic,-0.007,1,beta
controlling,-0.007,1,beta
distractors,-0.007,1,beta
preparatory,-0.007,1,beta
therapy,-0.007,1,beta
correct,-0.007,1,beta
anxiety disorders,-0.007,1,beta
affect,-0.007,1,beta
attention task,-0.007,1,beta
emotional valence,-0.007,1,beta
cortex ofc,-0.007,1,beta
parietal network,-0.007,1,beta
subsequent memory,-0.007,1,beta
instruction,-0.007,1,beta
sad,-0.007,1,beta
reaction times,-0.007,1,beta
effortful,-0.007,1,beta
cortex ba,-0.007,1,beta
stroop task,-0.007,1,beta
target detection,-0.008,1,beta
females,-0.008,1,beta
executive control,-0.008,1,beta
cognitive deficits,-0.008,1,beta
compensate,-0.008,1,beta
frontal gyri,-0.008,1,beta
compulsive,-0.008,1,beta
alff,-0.008,1,beta
time task,-0.008,1,beta
ba 44,-0.008,1,beta
task demands,-0.008,1,beta
sleep,-0.008,1,beta
strategy,-0.008,1,beta
gyrus inferior,-0.008,1,beta
pharmacological,-0.008,1,beta
anterior prefrontal,-0.008,1,beta
eyes,-0.008,1,beta
precentral gyrus,-0.008,1,beta
morphological,-0.008,1,beta
track,-0.008,1,beta
blind,-0.008,1,beta
cognitive functions,-0.008,1,beta
decline,-0.008,1,beta
german,-0.008,1,beta
unexpected,-0.008,1,beta
cortex parietal,-0.008,1,beta
response selection,-0.008,1,beta
endogenous,-0.008,1,beta
handedness,-0.008,1,beta
control network,-0.008,1,beta
cortex amygdala,-0.008,1,beta
motor responses,-0.008,1,beta
emotion regulation,-0.009,1,beta
td,-0.009,1,beta
orbital,-0.009,1,beta
amygdala anterior,-0.009,1,beta
frontal parietal,-0.009,1,beta
mm,-0.009,1,beta
control processes,-0.009,1,beta
classical,-0.009,1,beta
ofc,-0.009,1,beta
regulatory,-0.009,1,beta
task difficulty,-0.009,1,beta
medial superior,-0.009,1,beta
discrimination task,-0.009,1,beta
negative affect,-0.009,1,beta
signal task,-0.009,1,beta
learned,-0.009,1,beta
behavior,-0.009,1,beta
mg,-0.009,1,beta
fc,-0.009,1,beta
induction,-0.009,1,beta
recall,-0.009,1,beta
unpleasant,-0.009,1,beta
invasive,-0.009,1,beta
dorsomedial prefrontal,-0.009,1,beta
self report,-0.009,1,beta
negative emotions,-0.009,1,beta
eye fields,-0.009,1,beta
control task,-0.009,1,beta
stop,-0.009,1,beta
adulthood,-0.009,1,beta
